id;nome;cpf;email
1;holistic Architect;blue Rubber;Ryan_Osinski58@hotmail.com
2;bricks-and-clicks;Handcrafted payment;Sigrid_Windler@hotmail.com
3;Human magenta;Fantastic Rubber Chair;Bennie_Rolfson@yahoo.com
4;New Taiwan Dollar;support;Jaquelin45@yahoo.com
5;fuchsia Web;Saudi Riyal;Oscar_Wolff10@yahoo.com
6;whiteboard Books navigating;Unbranded alarm synthesize;Prudence_Schuppe@gmail.com
7;Wooden payment Persistent;Avon;Manley.Dickinson@yahoo.com
8;archive;Soap zero tolerance;Nils50@yahoo.com
9;Borders;Front-line cultivate Burkina Faso;Savannah_Kirlin@gmail.com
10;innovative;Rustic Metal Keyboard;Jaylon.Hyatt75@gmail.com
